Brand_URL,Brand_Name,Brand_Rating,Brand_Summary
https://directory.goodonyou.eco/brand/mate-the-label,MATE the Label,Overall rating: Great,Clean essentials made with GOTS certified Organic fabrics and low-impact dyes.
https://directory.goodonyou.eco/brand/mother-of-pearl,Mother of Pearl,Overall rating: Good,"Mother of Pearl is a luxury womenswear brand based in London that celebrates individuality, authenticity and sustainability."
https://directory.goodonyou.eco/brand/womsh,Womsh,Overall rating: Good,Womsh sneakers are entirely designed and manufactured in Italy.
https://directory.goodonyou.eco/brand/jyoti-fair-works,Jyoti - Fair Works,Overall rating: Good,Jyoti - Fair Works is a German-Indian social enterprise empowering women through the production of fair fashion.
https://directory.goodonyou.eco/brand/asket,ASKET,Overall rating: Good,ASKET has been creating timeless wardrobe essentials since 2015 with revolutionary sizing and fair pricing.
https://directory.goodonyou.eco/brand/franc,Franc,Overall rating: Good,Franc is a Canadian brand that makes basics so you can enjoy a complete wardrobe built on timeless essentials.
https://directory.goodonyou.eco/brand/bario-neal,Bario Neal,Overall rating: Good,Bario Neal is a custom jewelry designer that creates handmade rings with conflict free diamonds and other gemstones.
https://directory.goodonyou.eco/brand/thokkthokk,ThokkThokk,Overall rating: Good,ThokkThokk is a clothing brand with minimalistic graphic design bursting with energy and fairly produced streetstyle.
https://directory.goodonyou.eco/brand/tentree,tentree,Overall rating: Good,tentree is a lifestyle apparel company that plants ten trees for every item purchased!
https://directory.goodonyou.eco/brand/article-22,ARTICLE22,Overall rating: Good,ARTICLE22 celebrates stories of positive transformation and makes real impact through jewellery handmade in Laos.
https://directory.goodonyou.eco/brand/yes-friends,Yes Friends,Overall rating: Great,"Yes Friends creates sustainable, ethical and affordable clothing for everyone."
https://directory.goodonyou.eco/brand/pure-pod,Pure Pod,Overall rating: Good,An ethical lifestyle fashion label based in Australia using organic and fairtrade accredited materials.
https://directory.goodonyou.eco/brand/la-relaxed,LA Relaxed,Overall rating: Good,LA Relaxed allows for the skin to breathe with organic clothing for the modern woman.
